V1,V2,V3
0.3643725949723779,0.37288300572213734,0.058164072077447934
0.3509340013788145,0.38384550892706437,-0.17651547743568688
0.33949291853247915,0.2700742410889853,-0.3024176076176281
0.3269659795759823,0.1207244936908487,-0.3250516915024089
0.3138496438222035,0.10148081273203133,0.24341316404262492
0.2977988769329866,0.03683919755362951,0.7528768784395868
0.2755086898989505,-0.2532627907465109,0.18367561406835012
0.2527342203884498,-0.37359726066893784,-0.18857244485479324
0.23389095234415497,-0.2939833681883573,0.022066496451127453
0.21110852954591505,-0.33857311722493943,-0.013904625929601587
0.18719453159792568,-0.2932224851479725,-0.0802673399276133
0.15944124940106055,-0.24402630369997833,-0.13107313842639187
0.13298676831668002,-0.19837644277509334,-0.18631887234708305
0.10775142748799137,-0.14925526941185005,-0.037105266888244955
0.07693767998356947,-0.05017336335482708,0.11215859009363058
